Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 1, Loss: 0.0080, Val Acc@1: 1.030, Best Acc@1: 1.030
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 2, Loss: -0.5696, Val Acc@1: 1.210, Best Acc@1: 1.210
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 3, Loss: -0.7512, Val Acc@1: 1.510, Best Acc@1: 1.510
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 4, Loss: -0.8813, Val Acc@1: 1.700, Best Acc@1: 1.700
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 5, Loss: -0.9541, Val Acc@1: 1.640, Best Acc@1: 1.700
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 6, Loss: -1.0523, Val Acc@1: 1.740, Best Acc@1: 1.740
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 7, Loss: -1.1280, Val Acc@1: 1.900, Best Acc@1: 1.900
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 8, Loss: -1.2519, Val Acc@1: 1.340, Best Acc@1: 1.900
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 9, Loss: -1.3249, Val Acc@1: 1.760, Best Acc@1: 1.900
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 10, Loss: -1.4504, Val Acc@1: 1.700, Best Acc@1: 1.900
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 11, Loss: -1.5923, Val Acc@1: 1.510, Best Acc@1: 1.900
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 12, Loss: -1.7411, Val Acc@1: 1.740, Best Acc@1: 1.900
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 13, Loss: -1.8638, Val Acc@1: 1.080, Best Acc@1: 1.900
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 14, Loss: -1.7086, Val Acc@1: 1.430, Best Acc@1: 1.900
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 15, Loss: -1.9342, Val Acc@1: 2.280, Best Acc@1: 2.280
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 16, Loss: -1.9485, Val Acc@1: 2.490, Best Acc@1: 2.490
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 17, Loss: -1.9721, Val Acc@1: 2.130, Best Acc@1: 2.490
